date,company,category,value,source
2016-07-01,CNT EP,DATOS,141754.0,servicios
2016-07-01,CNT EP,TOTAL_EMPRESA,1328207.0,servicios
2016-07-01,CNT EP,CHECK_SUM_SERVICIOS,1328207.0,servicios
2016-07-01,TOTAL_MERCADO,TOTAL_MERCADO,14721505.0,servicios
2016-07-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,14721505.0,servicios
2016-08-01,CONECEL S.A.,TELEFONIA,4792871.0,servicios
2016-08-01,CONECEL S.A.,TELEFONIA E INTERNET,3523382.0,servicios
2016-08-01,CONECEL S.A.,INTERNET,361190.0,servicios
2016-08-01,CONECEL S.A.,DATOS,224954.0,servicios
2016-08-01,CONECEL S.A.,TOTAL_EMPRESA,8902397.0,servicios
2016-08-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8902397.0,servicios
2016-08-01,OTECEL S.A.,TELEFONIA,2603817.0,servicios
2016-08-01,OTECEL S.A.,TELEFONIA E INTERNET,1800921.0,servicios
2016-08-01,OTECEL S.A.,INTERNET,42592.0,servicios
2016-08-01,OTECEL S.A.,DATOS,186401.0,servicios
2016-08-01,OTECEL S.A.,TOTAL_EMPRESA,4633731.0,servicios
2016-08-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4633731.0,servicios
2016-08-01,CNT EP,TELEFONIA,450760.0,servicios
2016-08-01,CNT EP,TELEFONIA E INTERNET,727553.0,servicios
2016-08-01,CNT EP,INTERNET,52007.0,servicios
2016-08-01,CNT EP,DATOS,141767.0,servicios
2016-08-01,CNT EP,TOTAL_EMPRESA,1372087.0,servicios
2016-08-01,CNT EP,CHECK_SUM_SERVICIOS,1372087.0,servicios
2016-08-01,TOTAL_MERCADO,TOTAL_MERCADO,14908215.0,servicios
2016-08-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,14908215.0,servicios
2016-09-01,CONECEL S.A.,TELEFONIA,4640065.0,servicios
2016-09-01,CONECEL S.A.,TELEFONIA E INTERNET,3755088.0,servicios
2016-09-01,CONECEL S.A.,INTERNET,284586.0,servicios
2016-09-01,CONECEL S.A.,DATOS,235692.0,servicios
2016-09-01,CONECEL S.A.,TOTAL_EMPRESA,8915431.0,servicios
2016-09-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8915431.0,servicios
2016-09-01,OTECEL S.A.,TELEFONIA,2391281.0,servicios
2016-09-01,OTECEL S.A.,TELEFONIA E INTERNET,1929000.0,servicios
2016-09-01,OTECEL S.A.,INTERNET,39310.0,servicios
2016-09-01,OTECEL S.A.,DATOS,188904.0,servicios
2016-09-01,OTECEL S.A.,TOTAL_EMPRESA,4548495.0,servicios
2016-09-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4548495.0,servicios
2016-09-01,CNT EP,TELEFONIA,454304.0,servicios
2016-09-01,CNT EP,TELEFONIA E INTERNET,732971.0,servicios
2016-09-01,CNT EP,INTERNET,50967.0,servicios
2016-09-01,CNT EP,DATOS,142481.0,servicios
2016-09-01,CNT EP,TOTAL_EMPRESA,1380723.0,servicios
2016-09-01,CNT EP,CHECK_SUM_SERVICIOS,1380723.0,servicios
2016-09-01,TOTAL_MERCADO,TOTAL_MERCADO,14844649.0,servicios
2016-09-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,14844649.0,servicios
2016-10-01,CONECEL S.A.,TELEFONIA,4258220.0,servicios
2016-10-01,CONECEL S.A.,TELEFONIA E INTERNET,4104348.0,servicios
2016-10-01,CONECEL S.A.,INTERNET,310178.0,servicios
2016-10-01,CONECEL S.A.,DATOS,256381.0,servicios
2016-10-01,CONECEL S.A.,TOTAL_EMPRESA,8929127.0,servicios
2016-10-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8929127.0,servicios
2016-10-01,OTECEL S.A.,TELEFONIA,2397597.0,servicios
2016-10-01,OTECEL S.A.,TELEFONIA E INTERNET,1939569.0,servicios
2016-10-01,OTECEL S.A.,INTERNET,36225.0,servicios
2016-10-01,OTECEL S.A.,DATOS,190268.0,servicios
2016-10-01,OTECEL S.A.,TOTAL_EMPRESA,4563659.0,servicios
2016-10-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4563659.0,servicios
2016-10-01,CNT EP,TELEFONIA,453063.0,servicios
2016-10-01,CNT EP,TELEFONIA E INTERNET,736560.0,servicios
2016-10-01,CNT EP,INTERNET,49171.0,servicios
2016-10-01,CNT EP,DATOS,142795.0,servicios
2016-10-01,CNT EP,TOTAL_EMPRESA,1381589.0,servicios
2016-10-01,CNT EP,CHECK_SUM_SERVICIOS,1381589.0,servicios
2016-10-01,TOTAL_MERCADO,TOTAL_MERCADO,14874375.0,servicios
2016-10-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,14874375.0,servicios
2016-11-01,CONECEL S.A.,TELEFONIA,4190559.0,servicios
2016-11-01,CONECEL S.A.,TELEFONIA E INTERNET,4205044.0,servicios
2016-11-01,CONECEL S.A.,INTERNET,233719.0,servicios
2016-11-01,CONECEL S.A.,DATOS,148654.0,servicios
